,video_title,video_id,series,video_length_minutes,video_created,views,subscribers_gained,% subscriber conversion,average_view_duration,watch_time_minutes,% average_percentage_viewed,card_clicks,cards_shown,% clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,% clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,% clicks_per_end_screen_element_shown,estimated_monetized_playbacks,ad_impressions,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,watch_time_hours,total_engagement,positive_engagement,comments_shares,like_ratio,total_engagement_to_views,positive_engagement_to_views,comments_shares_to_views,vid_count
19,People Relive Losing Their Virginities,o3W-ShFF0qI,Firsts,3.72,2017-08-18,855600,704,0.000823,2.4,2032028,0.639,2083,16013,0.1301,16355,504268,0.032400000000000005,705983,11075,0.015700000000000002,7584,9031,758,8,164453,0.0,87,0,0.0,164453,13316,13969,653,332,479,147,839,451,12533,25273,12740,33867,14938,14606,1290,0.9757,0.0175,0.0171,0.0015,1
20,Leila and Joanna Share Both Sides of Their Love Story,z-US7cqcLlg,Both Sides,9.07,2017-08-23,171803,431,0.002509,5.1,879462,0.5646,6,13,0.46149999999999997,15,2694,0.005600000000000001,111458,2648,0.023799999999999998,85978,102305,442,3,65305,0.0,38,0,0.0,65305,4224,4313,89,85,117,32,536,118,1133,2736,1603,14658,4963,4878,654,0.9803,0.0289,0.0284,0.0038,1
21,Women Tell Their First Period Stories,2S66OWbzXcI,Firsts,3.07,2017-08-29,112099,126,0.001124,1.9,215123,0.6258,58,2117,0.0274,2118,72598,0.0292,79266,2316,0.0292,4934,5117,90,0,26549,0.0,0,0,0.0,26549,2233,2290,57,21,42,21,56,110,550,1923,1373,3585,2420,2399,166,0.9907,0.0216,0.0214,0.0015,1
22,College Student Opens Up About Depression And Anxiety,t2ZTi5NIkc8,Humans Being,9.27,2017-09-01,178242,892,0.005004,4.3,766107,0.46380000000000005,6,27,0.22219999999999998,23,4090,0.005600000000000001,59125,527,0.0089,87980,100634,327,13,77714,0.0002,0,0,0.0,77714,9138,9455,317,39,78,39,1274,393,5588,9344,3756,12768,10844,10805,1667,0.9958,0.0608,0.0606,0.0094,1
23,Tinder Couple Reflects On Their Two Year Relationship,0TjNjTsov9g,Candid Confession,7.33,2017-09-05,1479309,5723,0.003869,4.8,7078012,0.6525,131,13180,0.009899999999999999,12847,991941,0.013000000000000001,1262559,42013,0.0333,797206,932523,2506,64,491889,0.0001,0,0,0.0,491889,42061,43291,1230,203,482,279,10539,1139,15771,29486,13715,117967,53942,53739,11678,0.9952,0.0365,0.0363,0.0079,1
24,Lovers Reflect On Past Journeys And Future Plans,yvPKnlwv3yg,Candid Confession,9.08,2017-09-08,464859,1461,0.0031430000000000004,4.8,2209199,0.5232,2,20,0.1,8,6134,0.0013,155097,1955,0.0126,245792,282124,1025,10,138305,0.0001,0,0,0.0,138305,10249,10580,331,147,240,93,1477,588,3837,7463,3626,36820,12461,12314,2065,0.9859,0.0268,0.0265,0.0044,1
25,Reading Strangers' Deepest Regrets,qDukATwo61I,Seeking Secrets,3.63,2017-09-20,3541704,26936,0.007605,2.6,9086428,0.7061,7851,83833,0.09369999999999999,85363,2392731,0.035699999999999996,3439179,233057,0.0678,658404,770642,3902,46,884897,0.0001,0,0,0.0,884897,80513,83051,2538,549,1212,663,6424,2184,35637,67842,32205,151440,89670,89121,8608,0.9932,0.0253,0.0252,0.0024,1
26,Playing Never Have I Ever On A Blind Date,wGFpi93yhCE,Candid Confession,8.33,2017-09-24,320596,466,0.001454,3.7,1196812,0.44799999999999995,2,17,0.1176,16,4135,0.0039000000000000003,166351,3578,0.0215,131259,162278,596,7,108430,0.0001,0,0,0.0,108430,3727,3920,193,218,269,51,159,137,1261,4371,3110,19947,4241,4023,296,0.9447,0.0132,0.0125,0.0009,1
27,Reading Strangers' Proudest Moments,q3_j7cN1Nlw,Seeking Secrets,3.45,2017-09-26,1116321,5876,0.005264,2.2,2496904,0.6483,9,54,0.16670000000000001,52,10966,0.004699999999999999,982919,60420,0.061500000000000006,370374,428660,1097,16,316055,0.0001,0,0,0.0,316055,25264,25900,636,140,337,197,1170,484,6095,13969,7874,41615,27058,26918,1654,0.9945,0.0242,0.0241,0.0015,1
28,Roommates Play An Honest Game Of Never Have I Ever,vhKTK5T6VMY,Candid Confession,9.45,2017-10-01,4172220,25673,0.006153,5.1,21163112,0.5367999999999999,58406,178203,0.32770000000000005,123749,2239766,0.0553,799011,13197,0.0165,1219370,1506436,10431,146,1030105,0.0001,0,0,0.0,1030105,130173,134277,4104,1169,2297,1128,10939,6341,41691,76277,34586,352719,148622,147453,17280,0.9911,0.0356,0.0353,0.0041,1
29,Reading The Worst Things People Have Ever Done,SRPn3tWYabc,Seeking Secrets,3.9,2017-10-03,4488838,44265,0.009861,2.7,11964105,0.6834,199,516,0.3857,483,52796,0.0091,4295610,389048,0.0906,1866293,2200297,5016,69,1001693,0.0001,0,0,0.0,1001693,113622,117488,3866,1120,2176,1056,9789,2462,71087,123699,52612,199402,126993,125873,12251,0.9902,0.0283,0.028,0.0027,1
30,Atheists and Christians Debate Truth And Belief,3SjuC0PYscU,Middle Ground,12.87,2017-10-07,2541831,19090,0.00751,6.9,17586961,0.5377000000000001,374,44515,0.0084,49322,1156752,0.0426,1268209,36287,0.0286,860979,917854,11103,69,680675,0.0001,0,0,0.0,680675,54949,57449,2500,1532,2296,764,11823,11020,37225,69524,32299,293116,79324,77792,22843,0.9729,0.0312,0.0306,0.009,1
31,Strangers Have Awkward First Date Playing Never Have I Ever,vtSFSnBJ4Ho,Candid Confession,6.63,2017-10-10,2735847,7656,0.002798,3.7,10190017,0.5615,6,117,0.0513,91,37806,0.0024,1586677,23518,0.0148,1288101,1489687,4787,65,702799,0.0001,0,0,0.0,702799,26227,27366,1139,1024,1466,442,1341,1802,11879,28198,16319,169834,30394,29370,3143,0.9624,0.0111,0.0107,0.0011,1
32,Liberals And Conservatives Fight Labels And Stereotypes,cbh64LX6-HY,Middle Ground,9.92,2017-10-14,1096349,6880,0.006274999999999999,6.0,6599291,0.607,25,91,0.2747,68,15006,0.0045000000000000005,534754,12102,0.0226,531726,613682,5235,26,326059,0.0001,0,0,0.0,326059,21086,21908,822,680,952,272,2538,2547,9204,20421,11217,109988,26851,26171,5085,0.9688,0.0245,0.0239,0.0046,1
33,Brothers Open Up About Their Insecurities | RJ & Cory,Lk6DQSTYdmA,Candid Confession,6.73,2017-10-18,958421,3365,0.0035110000000000002,3.8,3606140,0.5588000000000001,545,11579,0.0471,10887,455624,0.0239,573318,25383,0.0443,390710,470228,1878,17,259473,0.0001,0,0,0.0,259473,18723,19298,575,165,323,158,570,414,6267,14210,7943,60102,19872,19707,984,0.9913,0.0207,0.0206,0.001,1
34,How To Make a Startup To (Maybe) Change The World,nfeMPBWdQhk,Jubilee Journals,4.8,2017-10-21,34632,272,0.007854,1.5,51537,0.31,0,2,0.0,1,530,0.0019,9841,192,0.0195,3234,3743,25,4,22084,0.0002,0,0,0.0,22084,954,1033,79,16,32,16,82,63,414,904,490,859,1115,1099,145,0.9835,0.0322,0.0317,0.0042,1
35,Pro-Choice And Pro-Life Supporters Search For Common Ground,QOJsel8t6wE,Middle Ground,13.07,2017-10-24,2612669,22720,0.008696,7.3,18944602,0.5549000000000001,160,12084,0.0132,11002,554962,0.019799999999999998,1276541,43520,0.0341,513067,512034,11727,45,674801,0.0001,0,0,0.0,674801,61585,63875,2290,1246,1947,701,10186,9425,41347,77185,35838,315743,82442,81196,19611,0.9802,0.0316,0.0311,0.0075,1
36,The Night I Was Sexually Assaulted,nGJF5j_vJ9Q,Secrets v2,7.27,2017-11-15,281712,1885,0.006691,4.2,1180797,0.5768,6,17,0.3529,16,2303,0.0069,142748,2735,0.0192,4657,5043,611,3,67124,0.0,0,0,0.0,67124,9678,10075,397,75,157,82,672,342,3921,8063,4142,19680,10767,10692,1014,0.9923,0.0382,0.038,0.0036,1
37,The Time I Tried To Kill Myself,KtU7kSoDAtM,Secrets v2,8.18,2017-11-26,781212,8393,0.010744,4.9,3805912,0.5953,313,14870,0.021,15135,427329,0.0354,640677,19557,0.0305,3684,4069,1964,17,172090,0.0001,0,0,0.0,172090,32309,33492,1183,193,497,304,2139,856,16875,28730,11855,63432,35497,35304,2995,0.9941,0.0454,0.0452,0.0038,1
38,Rich And Poor People Seek To Understand Each Other,8xbof4rqOKw,Middle Ground,11.72,2017-11-29,3395593,51514,0.015170999999999999,6.1,20603021,0.5179,713,55078,0.0129,59253,1504922,0.0394,868427,10111,0.0116,3110,63,13828,91,1027180,0.0001,0,0,0.0,1027180,95745,98555,2810,1449,2315,866,13034,4530,47188,82280,35092,343384,114758,113309,17564,0.9851,0.0338,0.0334,0.0052,1
39,My Son Died In My Arms,_sX9LAAZOxo,Secrets v2,9.0,2017-12-05,271658,1577,0.005805,4.2,1144090,0.4679,0,11,0.0,6,1610,0.0037,113879,2272,0.02,12539,12361,701,3,63756,0.0,0,0,0.0,63756,9279,9551,272,58,142,84,697,291,4079,7995,3916,19068,10325,10267,988,0.9938,0.038,0.0378,0.0036,1
40,Veterans And Peace Activists Seek To Find Common Ground,ZT6dde0Tz2c,Middle Ground,10.38,2017-12-09,1429898,18813,0.013157,6.5,9223783,0.6213000000000001,224,8983,0.024900000000000002,7917,370407,0.021400000000000002,704699,19006,0.027000000000000003,384706,447385,7217,21,384595,0.0001,0,0,0.0,384595,38050,39102,1052,495,843,348,2641,2295,13683,27476,13793,153730,43481,42986,4936,0.9872,0.0304,0.0301,0.0035,1
41,Veteran Retells The Guilt Of War,pC0VIPomB4Q,Secrets v2,6.97,2017-12-13,216883,1268,0.0058460000000000005,3.6,791291,0.5236999999999999,2,18,0.11109999999999999,15,1856,0.008100000000000001,107194,2149,0.02,38794,37997,572,4,55720,0.0001,0,0,0.0,55720,7092,7282,190,41,95,54,446,209,2875,5729,2854,13188,7788,7747,655,0.9943,0.0359,0.0357,0.003,1
42,Cops And Ex-Felons Seek To Find Common Ground,kbdJqkKQCzc,Middle Ground,12.9,2017-12-16,2699434,39075,0.014475,7.7,20882081,0.5997,21311,96384,0.2211,62119,1667962,0.037200000000000004,1267799,51926,0.040999999999999995,589341,655088,16148,84,714421,0.0001,0,0,0.0,714421,74695,77016,2321,1394,2184,790,6268,4124,33250,57227,23977,348035,86481,85087,10392,0.9817,0.032,0.0315,0.0038,1
43,Siblings Talk Openly After 15 Years Of Separation,-vjQyNjHamY,Candid Confession,9.45,2017-12-20,494900,1774,0.0035849999999999996,4.6,2300988,0.49200000000000005,4,23,0.1739,13,5163,0.0025,186040,4633,0.024900000000000002,195161,241162,1409,21,144068,0.0001,0,0,0.0,144068,9962,10245,283,145,239,94,352,262,3446,8365,4919,38350,10721,10576,614,0.9857,0.0217,0.0214,0.0012,1
44,Couple Secretly Shares Both Sides Of Their Love Story,wmgEDFC2awo,Both Sides,7.18,2017-12-24,387492,1998,0.005155999999999999,4.3,1654276,0.5943,8,21,0.381,15,7445,0.002,215794,6764,0.0313,203529,234768,830,6,131993,0.0,0,0,0.0,131993,12876,13146,270,31,75,44,2362,291,3060,6739,3679,27571,15560,15529,2653,0.9976,0.0402,0.0401,0.0068,1
45,Young Foreigners Discuss Their American Experience,vUlCunK0W2k,Candid Confession,8.27,2017-12-27,309592,1221,0.003944,4.3,1319054,0.5154,5,19,0.2632,11,4823,0.0023,167800,3430,0.0204,127830,156532,728,10,112285,0.0001,0,0,0.0,112285,6706,7044,338,134,183,49,359,331,2945,6518,3573,21984,7530,7396,690,0.9804,0.0243,0.0239,0.0022,1
46,Cruise Ship Lovers Share Both Sides Of Their Love Story,mdftkoGpOTA,Both Sides,8.05,2017-12-28,206182,788,0.003822,5.0,1032046,0.6218,1,7,0.1429,6,3653,0.0016,133286,2318,0.0174,108564,125848,566,5,80563,0.0001,0,0,0.0,80563,6654,6796,142,28,55,27,1021,256,1365,3400,2035,17201,7959,7931,1277,0.9958,0.0386,0.0385,0.0062,1
47,Why I Left My Six-Figure Job To Find My Calling,QeTgfqcXN7o,Crazy Ones,7.03,2018-01-03,125654,3422,0.027233999999999998,4.0,507846,0.5746,15,24,0.625,18,4075,0.0044,0,0,0.0,58907,72481,349,20,52278,0.0004,0,0,0.0,52278,7885,8102,217,113,142,29,1547,496,4253,6475,2222,8464,10041,9928,2043,0.9859,0.0799,0.079,0.0163,1
48,Best Friends Express Their True Feelings About Each Other,FCmI2WXVqL8,Candid Confession,7.5,2018-01-03,334448,1332,0.0039829999999999996,4.2,1392607,0.5552,4,30,0.1333,17,4692,0.0036,147795,2603,0.0176,156413,184613,752,11,115334,0.0001,0,0,0.0,115334,7963,8166,203,84,133,49,1048,282,3100,7139,4039,23210,9377,9293,1330,0.9896,0.028,0.0278,0.004,1
49,Polyamorous Partners Share Their Love Story,C-XKidJmD4k,Both Sides,9.28,2018-01-05,190112,1358,0.007143,5.0,954369,0.5408,1,9,0.11109999999999999,8,2664,0.003,111828,2268,0.0203,90293,109114,578,2,62505,0.0,0,0,0.0,62505,4964,5150,186,224,262,38,908,242,2273,5243,2970,15906,6338,6114,1150,0.9568,0.0333,0.0322,0.006,1
50,Cousins Reveal Their Honest Opinions About Each Other,REJ8VEwCymI,Candid Confession,8.47,2018-01-09,101184,242,0.002392,4.4,447132,0.5219,0,2,0.0,0,1159,0.0,57571,1447,0.025099999999999997,42443,50039,304,3,34404,0.0001,0,0,0.0,34404,1788,1871,83,28,39,11,94,113,614,1926,1312,7452,2023,1995,207,0.9846,0.02,0.0197,0.002,1
51,Couple Secretly Shares How Their Love Helped Them Heal,iE7DNDM4yj8,Both Sides,8.3,2018-01-13,105913,486,0.004588999999999999,4.8,508666,0.5786,1,7,0.1429,7,1790,0.0039000000000000003,69326,1296,0.0187,53769,61564,294,1,35447,0.0,0,0,0.0,35447,3873,3956,83,16,38,22,432,95,967,2479,1512,8478,4416,4400,527,0.9959,0.0417,0.0415,0.005,1
52,The Unsexy Truth About Following Your Dreams,b3Rr-lZqaic,Crazy Ones,6.88,2018-01-17,118349,1991,0.016822999999999998,2.3,270740,0.3323,33,254,0.12990000000000002,213,24159,0.0088,29927,424,0.014199999999999999,0,0,150,13,69530,0.0002,0,0,0.0,69530,4677,4825,148,70,116,46,268,366,2314,4283,1969,4512,5381,5311,634,0.9853,0.0455,0.0449,0.0054,1
53,Friends With Benefits Secretly Share Their Feelings For Each Other,x-t6MopdFoE,Both Sides,9.72,2018-01-17,4185245,31874,0.007616,4.7,19822819,0.4874,12685,115786,0.1096,81324,3124829,0.026000000000000002,1700463,52385,0.0308,2330254,2666217,9998,178,1177640,0.0002,0,0,0.0,1177640,129726,134175,4449,2615,3632,1017,28506,9813,73484,125212,51728,330380,170660,168045,38319,0.9802,0.0408,0.0402,0.0092,1
54,Young Pilot  Overcomes Odds to Attempt Record-Breaking Trip Around Country,AujK1N526-Y,Crazy Ones,9.62,2018-01-18,40888,646,0.015799,3.9,160543,0.4083,77,274,0.281,282,13391,0.021099999999999997,0,0,0.0,15079,18618,118,1,15490,0.0001,0,0,0.0,15490,1916,1952,36,10,18,8,421,104,703,1388,685,2676,2451,2441,525,0.9948,0.0599,0.0597,0.0128,1
55,Couple Secretly Shares Both Sides Of Their Love Story,ieEsCShC9PE,Both Sides,4.4,2018-01-21,1220171,9846,0.008069,2.9,3549484,0.6611,38,93,0.4086,78,21703,0.0036,1215647,15949,0.0131,594008,699130,1454,56,423909,0.0001,0,0,0.0,423909,55947,57367,1420,202,433,231,13878,1497,21217,35820,14603,59158,71524,71322,15375,0.9964,0.0586,0.0585,0.0126,1
56,Interracial Couple Secretly Shares About Their 37-Year Marriage,6ql6lz1f_tQ,Both Sides,6.43,2018-02-01,1051545,8913,0.008476000000000001,3.7,3933860,0.5815,2394,15393,0.1555,9764,638270,0.015300000000000001,642324,10495,0.0163,495247,606893,2246,18,292672,0.0001,0,0,0.0,292672,45912,46872,960,233,473,240,9547,1552,20238,32370,12132,65564,57244,57011,11099,0.995,0.0544,0.0542,0.0106,1
57,Couple Secretly Shares Both Sides Of Their Love Story,XIHblrUk030,Both Sides,8.33,2018-02-07,230393,1618,0.007023000000000001,4.7,1085833,0.5656,14,981,0.0143,879,99338,0.0088,132550,3329,0.025099999999999997,142640,158182,714,4,73639,0.0001,0,0,0.0,73639,5212,5331,119,84,126,42,726,202,1340,3385,2045,18097,6224,6140,928,0.9841,0.027,0.0267,0.004,1
58,Dropouts And Graduates: Is College Worth It?,ecgcL4Cu75I,Middle Ground,8.72,2018-02-13,2001864,20492,0.010236,5.0,10056896,0.5763,9315,54179,0.17190000000000003,35298,1479219,0.0239,863212,19210,0.0223,1296308,1456135,6555,57,616274,0.0001,0,0,0.0,616274,55543,57071,1528,642,1092,450,4950,3206,32039,57429,25390,167615,64341,63699,8156,0.9886,0.0321,0.0318,0.0041,1
59,What It Takes To Become The World's Best Whistler,KCzyQ2Rfj1c,Whistle Doc,14.45,2018-02-15,1768929,6235,0.003525,5.4,9540560,0.3732,9,56,0.1607,26,17811,0.0015,270634,3718,0.0137,0,0,9954,85,481104,0.0002,0,0,0.0,481104,49846,51008,1162,1017,1537,520,13766,2774,22834,33882,11048,159009,67403,66386,16540,0.98,0.0381,0.0375,0.0094,1
60,Pro-Gun Vs. Anti-Gun: Is There Middle Ground?,3svs-nHtlNg,Middle Ground,10.2,2018-02-21,2025474,22160,0.010941000000000001,5.9,11976388,0.5797,12503,60427,0.2069,39428,1379224,0.0286,656855,11224,0.0171,566324,660801,9234,47,590316,0.0001,0,0,0.0,590316,49047,50868,1821,2611,3263,652,6975,9895,27108,51212,24104,199606,68528,65917,16870,0.9495,0.0338,0.0325,0.0083,1
61,Can Strangers Love Each Other In 36 Questions?,4_W_ev9EBLM,Tea with Strangers,8.4,2018-02-22,227533,1645,0.0072299999999999994,4.8,1101465,0.5763,3,17,0.1765,16,4316,0.0037,130773,7648,0.058499999999999996,142976,161675,517,5,71533,0.0001,0,0,0.0,71533,10273,10555,282,62,115,53,604,220,6466,11975,5509,18358,11159,11097,824,0.994,0.049,0.0488,0.0036,1
62,3 Buff Men Share Their Feelings With Each Other,lavllxWY7QM,Tea with Strangers,13.03,2018-02-27,363619,3558,0.009785,6.7,2445310,0.516,6,25,0.24,24,5607,0.0043,197448,8179,0.0414,213709,235553,1534,11,133831,0.0001,0,0,0.0,133831,17099,17516,417,90,180,90,1999,689,6955,12034,5079,40755,19877,19787,2688,0.9948,0.0547,0.0544,0.0074,1
