video_title,video_id,series,video_length_minutes,video_created,views,subscribers_gained,subscriber conversion,% subscriber conversion,average_view_duration,watch_time_minutes,% average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,% clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,% clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,% clicks_per_end_screen_element_shown,estimated_monetized_playbacks,ad_impressions,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,average_percentage_viewed,,watch_time_hours
Lovers Reflect On Past Journeys And Future Plans,yvPKnlwv3yg,Candid Confession,9.08,9/8/2017,"464,859","1,461",318.18,0.3143%,4.8,2209199,52.32%,2,20,10,10.00%,8,6134,0.13,0.13%,155097,1955,1.26,1.26%,245792,282124,1025,10,138305,0.01,0,0,0,138305,10249,10580,331,147,240,93,1477,588,3837,7463,3626,52.32,,36820
Reading Strangers' Deepest Regrets,qDukATwo61I,Seeking Secrets,3.63,9/20/2017,"3,541,704","26,936",131.49,0.7605%,2.6,9086428,70.61%,7851,83833,9.37,9.37%,85363,2392731,3.57,3.57%,3439179,233057,6.78,6.78%,658404,770642,3902,46,884897,0.01,0,0,0,884897,80513,83051,2538,549,1212,663,6424,2184,35637,67842,32205,70.61,,151440
Playing Never Have I Ever On A Blind Date,wGFpi93yhCE,Candid Confession,8.33,9/24/2017,"320,596",466,687.97,0.1454%,3.7,1196812,44.80%,2,17,11.76,11.76%,16,4135,0.39,0.39%,166351,3578,2.15,2.15%,131259,162278,596,7,108430,0.01,0,0,0,108430,3727,3920,193,218,269,51,159,137,1261,4371,3110,44.8,,19947
Reading Strangers' Proudest Moments,q3_j7cN1Nlw,Seeking Secrets,3.45,9/26/2017,"1,116,321","5,876",189.98,0.5264%,2.2,2496904,64.83%,9,54,16.67,16.67%,52,10966,0.47,0.47%,982919,60420,6.15,6.15%,370374,428660,1097,16,316055,0.01,0,0,0,316055,25264,25900,636,140,337,197,1170,484,6095,13969,7874,64.83,,41615
Roommates Play An Honest Game Of Never Have I Ever,vhKTK5T6VMY,Candid Confession,9.45,10/1/2017,"4,172,220","25,673",162.51,0.6153%,5.1,21163112,53.68%,58406,178203,32.77,32.77%,123749,2239766,5.53,5.53%,799011,13197,1.65,1.65%,1219370,1506436,10431,146,1030105,0.01,0,0,0,1030105,130173,134277,4104,1169,2297,1128,10939,6341,41691,76277,34586,53.68,,352719
Reading The Worst Things People Have Ever Done,SRPn3tWYabc,Seeking Secrets,3.9,10/3/2017,"4,488,838","44,265",101.41,0.9861%,2.7,11964105,68.34%,199,516,38.57,38.57%,483,52796,0.91,0.91%,4295610,389048,9.06,9.06%,1866293,2200297,5016,69,1001693,0.01,0,0,0,1001693,113622,117488,3866,1120,2176,1056,9789,2462,71087,123699,52612,68.34,,199402
Atheists and Christians Debate Truth And Belief,3SjuC0PYscU,Middle Ground,12.87,10/7/2017,"2,541,831","19,090",133.15,0.7510%,6.9,17586961,53.77%,374,44515,0.84,0.84%,49322,1156752,4.26,4.26%,1268209,36287,2.86,2.86%,860979,917854,11103,69,680675,0.01,0,0,0,680675,54949,57449,2500,1532,2296,764,11823,11020,37225,69524,32299,53.77,,293116
Strangers Have Awkward First Date Playing Never Have I Ever,vtSFSnBJ4Ho,Candid Confession,6.63,10/10/2017,"2,735,847","7,656",357.35,0.2798%,3.7,10190017,56.15%,6,117,5.13,5.13%,91,37806,0.24,0.24%,1586677,23518,1.48,1.48%,1288101,1489687,4787,65,702799,0.01,0,0,0,702799,26227,27366,1139,1024,1466,442,1341,1802,11879,28198,16319,56.15,,169834
Liberals And Conservatives Fight Labels And Stereotypes,cbh64LX6-HY,Middle Ground,9.92,10/14/2017,"1,096,349","6,880",159.35,0.6275%,6,6599291,60.70%,25,91,27.47,27.47%,68,15006,0.45,0.45%,534754,12102,2.26,2.26%,531726,613682,5235,26,326059,0.01,0,0,0,326059,21086,21908,822,680,952,272,2538,2547,9204,20421,11217,60.7,,109988
Brothers Open Up About Their Insecurities | RJ & Cory,Lk6DQSTYdmA,Candid Confession,6.73,10/18/2017,"958,421","3,365",284.82,0.3511%,3.8,3606140,55.88%,545,11579,4.71,4.71%,10887,455624,2.39,2.39%,573318,25383,4.43,4.43%,390710,470228,1878,17,259473,0.01,0,0,0,259473,18723,19298,575,165,323,158,570,414,6267,14210,7943,55.88,,60102
How To Make a Startup To (Maybe) Change The World,nfeMPBWdQhk,Jubilee Journals,4.8,10/21/2017,"34,632",272,127.32,0.7854%,1.5,51537,31.00%,0,2,0,0.00%,1,530,0.19,0.19%,9841,192,1.95,1.95%,3234,3743,25,4,22084,0.02,0,0,0,22084,954,1033,79,16,32,16,82,63,414,904,490,31,,859
Pro-Choice And Pro-Life Supporters Search For Common Ground,QOJsel8t6wE,Middle Ground,13.07,10/24/2017,"2,612,669","22,720",114.99,0.8696%,7.3,18944602,55.49%,160,12084,1.32,1.32%,11002,554962,1.98,1.98%,1276541,43520,3.41,3.41%,513067,512034,11727,45,674801,0.01,0,0,0,674801,61585,63875,2290,1246,1947,701,10186,9425,41347,77185,35838,55.49,,315743
The Night I Was Sexually Assaulted,nGJF5j_vJ9Q,Secrets v2,7.27,11/15/2017,"281,712","1,885",149.45,0.6691%,4.2,1180797,57.68%,6,17,35.29,35.29%,16,2303,0.69,0.69%,142748,2735,1.92,1.92%,4657,5043,611,3,67124,0,0,0,0,67124,9678,10075,397,75,157,82,672,342,3921,8063,4142,57.68,,19680
The Time I Tried To Kill Myself,KtU7kSoDAtM,Secrets v2,8.18,11/26/2017,"781,212","8,393",93.08,1.0744%,4.9,3805912,59.53%,313,14870,2.1,2.10%,15135,427329,3.54,3.54%,640677,19557,3.05,3.05%,3684,4069,1964,17,172090,0.01,0,0,0,172090,32309,33492,1183,193,497,304,2139,856,16875,28730,11855,59.53,,63432
Rich And Poor People Seek To Understand Each Other,8xbof4rqOKw,Middle Ground,11.72,11/29/2017,"3,395,593","51,514",65.92,1.5171%,6.1,20603021,51.79%,713,55078,1.29,1.29%,59253,1504922,3.94,3.94%,868427,10111,1.16,1.16%,3110,63,13828,91,1027180,0.01,0,0,0,1027180,95745,98555,2810,1449,2315,866,13034,4530,47188,82280,35092,51.79,,343384
My Son Died In My Arms,_sX9LAAZOxo,Secrets v2,9,12/5/2017,"271,658","1,577",172.26,0.5805%,4.2,1144090,46.79%,0,11,0,0.00%,6,1610,0.37,0.37%,113879,2272,2,2.00%,12539,12361,701,3,63756,0,0,0,0,63756,9279,9551,272,58,142,84,697,291,4079,7995,3916,46.79,,19068
Veterans And Peace Activists Seek To Find Common Ground,ZT6dde0Tz2c,Middle Ground,10.38,12/9/2017,"1,429,898","18,813",76.01,1.3157%,6.5,9223783,62.13%,224,8983,2.49,2.49%,7917,370407,2.14,2.14%,704699,19006,2.7,2.70%,384706,447385,7217,21,384595,0.01,0,0,0,384595,38050,39102,1052,495,843,348,2641,2295,13683,27476,13793,62.13,,153730
Veteran Retells The Guilt Of War,pC0VIPomB4Q,Secrets v2,6.97,12/13/2017,"216,883","1,268",171.04,0.5846%,3.6,791291,52.37%,2,18,11.11,11.11%,15,1856,0.81,0.81%,107194,2149,2,2.00%,38794,37997,572,4,55720,0.01,0,0,0,55720,7092,7282,190,41,95,54,446,209,2875,5729,2854,52.37,,13188
Cops And Ex-Felons Seek To Find Common Ground,kbdJqkKQCzc,Middle Ground,12.9,12/16/2017,"2,699,434","39,075",69.08,1.4475%,7.7,20882081,59.97%,21311,96384,22.11,22.11%,62119,1667962,3.72,3.72%,1267799,51926,4.1,4.10%,589341,655088,16148,84,714421,0.01,0,0,0,714421,74695,77016,2321,1394,2184,790,6268,4124,33250,57227,23977,59.97,,348035
Siblings Talk Openly After 15 Years Of Separation,-vjQyNjHamY,Candid Confession,9.45,12/20/2017,"494,900","1,774",278.97,0.3585%,4.6,2300988,49.20%,4,23,17.39,17.39%,13,5163,0.25,0.25%,186040,4633,2.49,2.49%,195161,241162,1409,21,144068,0.01,0,0,0,144068,9962,10245,283,145,239,94,352,262,3446,8365,4919,49.2,,38350
Couple Secretly Shares Both Sides Of Their Love Story,wmgEDFC2awo,Both Sides,7.18,12/24/2017,"387,492","1,998",193.94,0.5156%,4.3,1654276,59.43%,8,21,38.1,38.10%,15,7445,0.2,0.20%,215794,6764,3.13,3.13%,203529,234768,830,6,131993,0,0,0,0,131993,12876,13146,270,31,75,44,2362,291,3060,6739,3679,59.43,,27571
Young Foreigners Discuss Their American Experience,vUlCunK0W2k,Candid Confession,8.27,12/27/2017,"309,592","1,221",253.56,0.3944%,4.3,1319054,51.54%,5,19,26.32,26.32%,11,4823,0.23,0.23%,167800,3430,2.04,2.04%,127830,156532,728,10,112285,0.01,0,0,0,112285,6706,7044,338,134,183,49,359,331,2945,6518,3573,51.54,,21984
